PMID,Title,Journal,Authors,Abstract,DOI,SciHub,PathwayName
8515237,Diketocamphane enantiomer-specific 'Baeyer-Villiger' monooxygenases from camphor-grown Pseudomonas putida ATCC 17453.,Journal of general microbiology,"Jones KH, Smith RT, Trudgill PW","Pseudomonas putida ATCC 17453 grew with either (+)- or (-)-camphor as sole carbon source. Enantiomer-specific 'biological Baeyer-Villiger' monooxygenases were synthesized irrespective of the camphor isomer used for growth. The two enzymes are probably the products of separate genes but showed many similarities. Each consisted of two electrophoretically identical subunits, bound flavin mononucleotide (FMN) non-covalently and accepted electrons from an induced NADH dehydrogenase which interacted with the FMN bound to the oxygenating component. They showed minor differences in M(r) with 3,6-diketocamphane 1,6-monooxygenase being the smaller enzyme. Isoelectric focussing showed the two enzymes to have different acidic pI values. Polyclonal antibodies raised against 3,6-diketocamphane 1,6-monooxygenase also cross-reacted with 2,5-diketocamphane 1,2-monooxygenase and its subunits.",10.1099/00221287-139-4-797,https://sci-hub.se/10.1099/00221287-139-4-797,(+)-Camphor
6848481,"Camphor revisited: involvement of a unique monooxygenase in metabolism of 2-oxo-delta 3-4,5,5-trimethylcyclopentenylacetic acid by Pseudomonas putida.",Journal of bacteriology,"Ougham HJ, Taylor DG, Trudgill PW","Previously, Pseudomonas putida was shown to degrade (+)-camphor, and cleavage of the first ring of the bicyclic structure involved two monooxygenases (a hydroxylase and a ring oxygen-inserting enzyme), a dehydrogenase, and spontaneous cleavage of an unstable oxygenation product (lactone). Cleavage of the second ring was not demonstrated but was assumed also to occur by ring oxygen insertion, since the predicted oxygenation product was extracted from whole-cell incubation systems. Our investigation established that metabolism of the first ring cleavage intermediate, 2-oxo-delta 3-4,5,5-trimethylcyclopentenylacetic acid, occurred through the sequential action of two inducible enzymes, a coenzyme A ester synthetase and an oxygenase. The oxygenase was purified to homogeneity and had a molecular weight of 106,000. This enzyme carried a single molecule of flavin adenine dinucleotide and consisted of two identical subunits. Iron was not present at a significant level. The oxygenase was specific for NADPH as the electron donor and absolutely specific for the coenzyme A ester of 2-oxo-delta 3-4,5,5-trimethylcyclopentenylacetic acid as the substrate. The reaction stoichiometry was compatible with this enzyme being a monooxygenase, and a mass spectral analysis of the methyl ester of the product confirmed the insertion of a single oxygen atom. The enzyme appeared to be analogous to, although distinct from. 2,5-diketocamphane 1,2-monooxygenase in catalyzing a ""biological Baeyer-Villiger"" reaction with the formation of a lactone. Structural analogy suggested that this lactone, like the first, was also unstable and susceptible to spontaneous ring opening, although this was not experimentally established.",10.1128/jb.153.1.140-152.1983,https://sci-hub.se/10.1128/jb.153.1.140-152.1983,(+)-Camphor
9563945,Reductive dechlorination of DDE to DDMU in marine sediment microcosms.,"Science (New York, N.Y.)","Quensen JF, Mueller SA, Jain MK, Tiedje JM","DDT is reductively dechlorinated to DDD and dehydrochlorinated to DDE; it has been thought that DDE is not degraded further in the environment. Laboratory experiments with DDE-containing marine sediments showed that DDE is dechlorinated to DDMU in both methanogenic and sulfidogenic microcosms and that DDD is dehydrochlorinated to DDMU three orders of magnitude more slowly. Thus, DDD does not appear to be an important precursor of the DDMU found in these sediments. These results imply that remediation decisions and risk assessments based on the recalcitrance of DDE in marine and estuarine sediments should be reevaluated.",10.1126/science.280.5364.722,https://sci-hub.se/10.1126/science.280.5364.722,"1,1,1-Trichloro-2,2-bis-(4`-chlorophenyl)ethane (DDT)"
9603826,"Cometabolism of 1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene by Pseudomonas acidovorans M3GY grown on biphenyl.",Applied and environmental microbiology,"Hay AG, Focht DD","1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene (DDE), a toxic breakdown product of 1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane (DDT), has traditionally been viewed as a dead-end metabolite: there are no published reports detailing enzymatic ring fission of DDE by bacteria in either soil or pure culture. In this study, we investigated the ability of Pseudomonas acidovorans M3GY to transform DDE and its unchlorinated analog, 1,1-diphenylethylene (DPE). While strain M3GY could grow on DPE, cells grown on DPE as a sole carbon source could not degrade DDE. Cells grown on biphenyl, however, did degrade DDE. Mass balance analysis of [14C]DDE showed transformation of more than 40% of the recoverable radioactivity. Nine chlorinated metabolites produced from DDE were identified by gas chromatography-mass spectrometry-Fourier-transform infrared spectrometry (GC-MS-FTIR) from cultures grown on biphenyl. Recovery of these metabolites demonstrates that biphenyl-grown cells degrade DDE through a meta-fission pathway. This study provides a possible model for biodegradation of DDE in soil by biphenyl-utilizing bacteria.",10.1128/AEM.64.6.2141-2146.1998,https://sci-hub.se/10.1128/AEM.64.6.2141-2146.1998,"1,1,1-Trichloro-2,2-bis-(4`-chlorophenyl)ethane (DDT)"
8117093,"Aerobic degradation of 1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) by Alcaligenes eutrophus A5.",Applied and environmental microbiology,"Nadeau LJ, Menn FM, Breen A, Sayler GS","Biotransformation of 1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) by Alcaligenes eutrophus A5 was demonstrated by analysis of ethyl acetate-extracted products from resting cell cultures. Gas chromatography-mass spectrometry characterization of the neutral extracts revealed two hydroxy-DDT intermediates (m/z = 370) with retention times at 19.55 and 19.80 min that shared identical mass spectra. This result suggested that the hydroxylations occurred at the ortho and meta positions on the aromatic ring. UV-visible spectrum spectrophotometric analysis of a yellow metabolite in the culture supernatant showed a maximum A402 with, under acidic and basic conditions, spectrophotometric characteristics similar to those of the aromatic ring meta-cleavage products. 4-Chlorobenzoic acid was detected by thin-layer chromatography radiochemical scanning in samples from mineralization experiments by comparison of Rf values of [14C]DDT intermediates with that of an authentic standard. These results were further confirmed by gas chromatography-mass spectrometry analysis. This study indicates that DDT appears to be oxidized by a dioxygenase in A. eutrophus A5 and that the products of this oxidation are subsequently subjected to ring fission to eventually yield 4-chlorobenzoic acid as a major stable intermediate.",10.1128/aem.60.1.51-55.1994,https://sci-hub.se/10.1128/aem.60.1.51-55.1994,"1,1,1-Trichloro-2,2-bis-(4`-chlorophenyl)ethane (DDT)"
2729985,"Biotransformation of 1,1,1-trichloroethane, trichloromethane, and tetrachloromethane by a Clostridium sp.",Applied and environmental microbiology,"Gälli R, McCarty PL","A gram-positive, strictly anaerobic, motile, endospore-forming rod, tentatively identified as a proteolytic Clostridium sp., was isolated from the effluent of an anaerobic suspended-growth bioreactor. The organism was able to biotransform 1,1,1-trichloroethane, trichloromethane, and tetrachloromethane. 1,1,1-Trichloroethane was completely transformed (greater than or equal to 99.5%) by reductive dehalogenation to 1,1-dichloroethane (30 to 40%) and, presumably by other mechanisms, to acetic acid (7%) and unidentified products. The reductive dehalogenation of tetrachloromethane led to the intermediate trichloromethane, which was further transformed to dichloromethane (8%) and unidentified products. The biotransformation occurred during the exponential growth phase, as well as during the stationary phase. Tetrachlorethene, trichloroethene, 1,1-dichloroethene, chloroethane, 1,1-dichloroethane, and dichloromethane were not biotransformed significantly by the organism.",10.1128/aem.55.4.837-844.1989,https://sci-hub.se/10.1128/aem.55.4.837-844.1989,"1,1,1-Trichloroethane (an/aerobic)"
12411705,"Microbial dehalorespiration with 1,1,1-trichloroethane.","Science (New York, N.Y.)","Sun B, Griffin BM, Ayala-del-Río HL, Hashsham SA, Tiedje JM","1,1,1-Trichloroethane (TCA) is a ubiquitous environmental pollutant because of its widespread use as an industrial solvent, its improper disposal, and its substantial emission to the atmosphere. We report the isolation of an anaerobic bacterium, strain TCA1, that reductively dechlorinates TCA to 1,1-dichloroethane and chloroethane. Strain TCA1 required H2 as an electron donor and TCA as an electron acceptor for growth, indicating that dechlorination is a respiratory process. Phylogenetic analysis indicated that strain TCA1 is related to gram-positive bacteria with low DNA G+C content and that its closest relative is Dehalobacter restrictus, an obligate H2-oxidizing, chloroethene-respiring bacterium.",10.1126/science.1074675,https://sci-hub.se/10.1126/science.1074675,"1,1,1-Trichloroethane (an/aerobic)"
10633545,"Anaerobic transformation of 1,1,1-trichloroethane by municipal digester sludge.",Biodegradation,"Chen C, Ballapragada BS, Puhakka JA, Strand SE, Ferguson JF","Anaerobic transformations of 1,1,1-trichloroethane (TCA), 1,1-dichloroethane (DCA), and chloroethane (CA) were studied with sludge from a lab-scale, municipal wastewater sludge digester. TCA was biologically transformed to DCA and CA and further to ethane by reductive dechlorination. TCA was also converted to acetic acid and 1,1-dichloroethene (11DCE) by cell-free extract. 11DCE was further biologically converted to ethene. This pathway was confirmed by transformation tests of TCA, DCA and CA, by tests with cell-free extract, and by chloride release during TCA degradation. With cell-free extract, acetic acid accounted for approximately 90% of the TCA transformed; tests with live cells indicate that the fraction of TCA transformed by this pathway decreased with lower biomass. The dechlorination of DCA to CA and CA to ethane was not stoichiometric. A high rate of TCA removal was observed under the experimental conditions. The results indicate that removal of TCA in anaerobic digestion should be complete, but DCA and CA could persist in a normally operating digester.",10.1023/a:1008336103968,https://sci-hub.se/10.1023/a:1008336103968,"1,1,1-Trichloroethane (an/aerobic)"
2624462,Degradation of chlorinated aliphatic hydrocarbons by Methylosinus trichosporium OB3b expressing soluble methane monooxygenase.,Applied and environmental microbiology,"Oldenhuis R, Vink RL, Janssen DB, Witholt B","Degradation of trichloroethylene (TCE) by the methanotrophic bacterium Methylosinus trichosporium OB3b was studied by using cells grown in continuous culture. TCE degradation was a strictly cometabolic process, requiring the presence of a cosubstrate, preferably formate, and oxygen. M. trichosporium OB3b cells degraded TCE only when grown under copper limitation and when the soluble methane monooxygenase was derepressed. During TCE degradation, nearly total dechlorination occurred, as indicated by the production of inorganic chloride, and only traces of 2,2,2-trichloroethanol and trichloroacetaldehyde were produced. TCE degradation proceeded according to first-order kinetics from 0.1 to 0.0002 mM TCE with a rate constant of 2.14 ml min-1 mg of cells-1. TCE concentrations above 0.2 mM inhibited degradation in cell suspensions of 0.42 mg of cells ml-1. Other chlorinated aliphatics were also degraded by M. trichosporium OB3b. Dichloromethane, chloroform, 1,1-dichloroethane, and 1,2-dichloroethane were completely degraded, with the release of stoichiometric amounts of chloride. trans-1,2-Dichloroethylene, cis-1,2-dichloroethylene, and 1,2-dichloropropane were completely converted, but not all the chloride was released because of the formation of chlorinated intermediates, e.g., trans-2,3-dichlorooxirane, cis-2,3-dichlorooxirane, and 2,3-dichloropropanol, respectively. 1,1,1-Trichloroethane, 1,1-dichloroethylene, and 1,3-dichloropropylene were incompletely converted, and the first compound yielded 2,2,2-trichloroethanol as a chlorinated intermediate. The two perchlorinated compounds tested, carbon tetrachloride and tetrachloroethylene, were not converted.",10.1128/aem.55.11.2819-2826.1989,https://sci-hub.se/10.1128/aem.55.11.2819-2826.1989,"1,1,1-Trichloroethane (an/aerobic)"
10508110,"Aerobic degradation of 1,1,1-trichloroethane by Mycobacterium spp. isolated from soil.",Applied and environmental microbiology,"Yagi O, Hashimoto A, Iwasaki K, Nakajima M","Two strains of 1,1,1-trichloroethane (TCA)-degrading bacteria, TA5 and TA27, were isolated from soil and identified as Mycobacterium spp. Strains TA5 and TA27 could degrade 25 and 75 mg. liter of TCA(-1) cometabolically in the presence of ethane as a carbon source, respectively. The compound 2,2,2-trichloroethanol was produced as a metabolite of the degradation process.",10.1128/AEM.65.10.4693-4696.1999,https://sci-hub.se/10.1128/AEM.65.10.4693-4696.1999,"1,1,1-Trichloroethane (an/aerobic)"
